Province,Municipality/City,PSGC Code
Batanes,Basco (Capital),020901000
Batanes,Itbayat,020902000
Batanes,Ivana,020903000
Batanes,Mahatao,020904000
Batanes,Sabtang,020905000
Batanes,Uyugan,020906000
Cagayan,Tuguegarao City (Capital),021528000
Cagayan,Abulug,021501000
Cagayan,Alcala,021502000
Cagayan,Allacapan,021503000
Cagayan,Amulung,021504000
Cagayan,Aparri,021505000
Cagayan,Baggao,021506000
Cagayan,Ballesteros,021507000
Cagayan,Buguey,021508000
Cagayan,Calayan,021509000
Cagayan,Camalaniugan,021510000
Cagayan,Claveria,021511000
Cagayan,Enrile,021512000
Cagayan,Gattaran,021513000
Cagayan,Gonzaga,021514000
Cagayan,Iguig,021515000
Cagayan,Lal-lo,021516000
Cagayan,Lasam,021517000
Cagayan,Pamplona,021518000
Cagayan,Peñablanca,021519000
Cagayan,Piat,021520000
Cagayan,Rizal,021521000
Cagayan,Sanchez-Mira,021522000
Cagayan,Santa Ana,021523000
Cagayan,Santa Praxedes,021524000
Cagayan,Santa Teresita,021525000
Cagayan,Santo Niño,021526000
Cagayan,Sua,021527000
Isabela,Ilagan City (Capital),023114000
Isabela,Santiago City (Independent),023135000
Isabela,Cauayan City,023108000
Isabela,Alicia,023101000
Isabela,Angadanan,023102000
Isabela,Aurora,023103000
Isabela,Benito Soliven,023104000
Isabela,Burgos,023105000
Isabela,Cabagan,023106000
Isabela,Cabatuan,023107000
Isabela,Cordon,023109000
Isabela,Delfin Albano,023110000
Isabela,Dinapigue,023111000
Isabela,Divilacan,023112000
Isabela,Echague,023113000
Isabela,Jones,023115000
Isabela,Luna,023116000
Isabela,Maconacon,023117000
Isabela,Mallig,023118000
Isabela,Naguilian,023119000
Isabela,Palanan,023120000
Isabela,Quezon,023121000
Isabela,Quirino,023122000
Isabela,Ramon,023123000
Isabela,Reina Mercedes,023124000
Isabela,Roxas,023125000
Isabela,San Agustin,023126000
Isabela,San Guillermo,023127000
Isabela,San Isidro,023128000
Isabela,San Mariano,023129000
Isabela,San Mateo,023130000
Isabela,San Pablo,023131000
Isabela,Santa Maria,023132000
Isabela,Santo Tomas,023133000
Isabela,Tumauini,023134000
Nueva Vizcaya,Bayombong (Capital),025004000
Nueva Vizcaya,Alfonso Castañeda,025015000
Nueva Vizcaya,Ambaguio,025001000
Nueva Vizcaya,Aritao,025002000
Nueva Vizcaya,Bagabag,025003000
Nueva Vizcaya,Bambang,025005000
Nueva Vizcaya,Diadi,025006000
Nueva Vizcaya,Dupax del Norte,025007000
Nueva Vizcaya,Dupax del Sur,025008000
Nueva Vizcaya,Kasibu,025009000
Nueva Vizcaya,Kayapa,025010000
Nueva Vizcaya,Quezon,025011000
Nueva Vizcaya,Santa Fe,025012000
Nueva Vizcaya,Solano,025013000
Nueva Vizcaya,Villaverde,025014000
Quirino,Cabarroguis (Capital),025702000
Quirino,Aglipay,025701000
Quirino,Diffun,025703000
Quirino,Maddela,025704000
Quirino,Nagtipunan,025705000
Quirino,Saguday,025706000
