Province,Municipality/City,PSGC Code (10-digit)
Batanes,Basco (Capital),0200901000
Batanes,Itbayat,0200902000
Batanes,Ivana,0200903000
Batanes,Mahatao,0200904000
Batanes,Sabtang,0200905000
Batanes,Uyugan,0200906000
Cagayan,Tuguegarao City (Capital),0201528000
Cagayan,Abulug,0201501000
Cagayan,Alcala,0201502000
Cagayan,Allacapan,0201503000
Cagayan,Amulung,0201504000
Cagayan,Aparri,0201505000
Cagayan,Baggao,0201506000
Cagayan,Ballesteros,0201507000
Cagayan,Buguey,0201508000
Cagayan,Calayan,0201509000
Cagayan,Camalaniugan,020151000
Cagayan,Claveria,0201511000
Cagayan,Enrile,0201512000
Cagayan,Gattaran,0201513000
Cagayan,Gonzaga,0201514000
Cagayan,Iguig,0201515000
Cagayan,Lal-lo,0201516000
Cagayan,Lasam,0201517000
Cagayan,Pamplona,0201518000
Cagayan,Peñablanca,0201519000
Cagayan,Piat,020152000
Cagayan,Rizal,0201521000
Cagayan,Sanchez-Mira,0201522000
Cagayan,Santa Ana,0201523000
Cagayan,Santa Praxedes,0201524000
Cagayan,Santa Teresita,0201525000
Cagayan,Santo Niño,0201526000
Cagayan,Sua,0201527000
Isabela,Ilagan City (Capital),0203114000
Isabela,Santiago City (Independent),0203135000
Isabela,Cauayan City,0203108000
Isabela,Alicia,0203101000
Isabela,Angadanan,0203102000
Isabela,Aurora,0203103000
Isabela,Benito Soliven,0203104000
Isabela,Burgos,0203105000
Isabela,Cabagan,0203106000
Isabela,Cabatuan,0203107000
Isabela,Cordon,0203109000
Isabela,Delfin Albano,020311000
Isabela,Dinapigue,0203111000
Isabela,Divilacan,0203112000
Isabela,Echague,0203113000
Isabela,Jones,0203115000
Isabela,Luna,0203116000
Isabela,Maconacon,0203117000
Isabela,Mallig,0203118000
Isabela,Naguilian,0203119000
Isabela,Palanan,020312000
Isabela,Quezon,0203121000
Isabela,Quirino,0203122000
Isabela,Ramon,0203123000
Isabela,Reina Mercedes,0203124000
Isabela,Roxas,0203125000
Isabela,San Agustin,0203126000
Isabela,San Guillermo,0203127000
Isabela,San Isidro,0203128000
Isabela,San Mariano,0203129000
Isabela,San Mateo,020313000
Isabela,San Pablo,0203131000
Isabela,Santa Maria,0203132000
Isabela,Santo Tomas,0203133000
Isabela,Tumauini,0203134000
Nueva Vizcaya,Bayombong (Capital),0205004000
Nueva Vizcaya,Alfonso Castañeda,0205015000
Nueva Vizcaya,Ambaguio,0205001000
Nueva Vizcaya,Aritao,0205002000
Nueva Vizcaya,Bagabag,0205003000
Nueva Vizcaya,Bambang,0205005000
Nueva Vizcaya,Diadi,0205006000
Nueva Vizcaya,Dupax del Norte,0205007000
Nueva Vizcaya,Dupax del Sur,0205008000
Nueva Vizcaya,Kasibu,0205009000
Nueva Vizcaya,Kayapa,020501000
Nueva Vizcaya,Quezon,0205011000
Nueva Vizcaya,Santa Fe,0205012000
Nueva Vizcaya,Solano,0205013000
Nueva Vizcaya,Villaverde,0205014000
Quirino,Cabarroguis (Capital),0205702000
Quirino,Aglipay,0205701000
Quirino,Diffun,0205703000
Quirino,Maddela,0205704000
Quirino,Nagtipunan,0205705000
Quirino,Saguday,0205706000
