bin,business_line_code,capital_amount,gross_amount,gross_amount_essential,gross_amount_nonessential,retired_date
1400101-2024-0000001,47219,300000,10000,50000,50000,
1400101-2024-0000002,47221,500000,20000,60000,40000,
1400101-2024-0000003,47223,750000,30000,70000,30000,
1400101-2024-0000004,47225,1000000,40000,80000,20000,
1400101-2024-0000005,47227,1250000,50000,90000,10000,
1400101-2024-0000006,47229,1500000,60000,100000,0,
1400101-2024-0000007,47231,1750000,70000,110000,0,
1400101-2024-0000008,47233,2000000,80000,120000,0,
1400101-2024-0000009,47235,2250000,90000,130000,0,
1400101-2024-0000010,47237,2500000,100000,140000,0,
1400101-2024-0000011,47239,2750000,110000,150000,0,
1400101-2024-0000012,47241,3000000,120000,160000,0,
1400101-2024-0000013,47243,3250000,130000,170000,0,
1400101-2024-0000014,47245,3500000,140000,180000,0,
1400101-2024-0000015,47247,3750000,150000,190000,0,
1400101-2024-0000016,47249,4000000,160000,200000,0,
1400101-2024-0000017,47251,4250000,170000,210000,0,
1400101-2024-0000018,47253,4500000,180000,220000,0,
1400101-2024-0000019,47255,4750000,190000,230000,0,
1400101-2024-0000020,47257,5000000,200000,240000,0
