bin,application_type,application_date,year,qtr_from,qtr_to,amount,discount,surcharge,interest,total,issued_date,valid_until,or_no,or_date,permit_no,barangay_clearance_number,business_plate_number,mode_of_payment
1400101-2024-0000001,R,01/20/2024,2024,1,4,10000,100,2000,2000,11900,01/20/2024,01/20/2025,U12345678,01/20/2024,A-0001,ABC-123,AA-0001,ONLINE
1400101-2024-0000002,R,02/15/2024,2024,1,4,20000,200,3000,3000,22800,02/15/2024,02/15/2025,U12345679,02/15/2024,B-0002,,BB-0002,MANUAL
1400101-2024-0000003,R,03/10/2024,2024,2,3,30000,300,4000,4000,33700,03/10/2024,03/10/2025,U12345680,03/10/2024,C-0003,,CC-0003,ONLINE
1400101-2024-0000004,R,04/05/2024,2024,1,2,40000,400,5000,5000,44900,04/05/2024,04/05/2025,U12345681,04/05/2024,D-0004,,DD-0004,MANUAL
1400101-2024-0000005,R,05/20/2024,2024,2,4,50000,500,6000,6000,55500,05/20/2024,05/20/2025,U12345682,05/20/2024,E-0005,,EE-0005,ONLINE
1400101-2024-0000006,R,06/12/2024,2024,3,4,60000,600,7000,7000,66400,06/12/2024,06/12/2025,U12345683,06/12/2024,F-0006,,FF-0006,MANUAL
1400101-2024-0000007,R,07/08/2024,2024,1,3,70000,700,8000,8000,77300,07/08/2024,07/08/2025,U12345684,07/08/2024,G-0007,,GG-0007,ONLINE
1400101-2024-0000008,R,08/22/2024,2024,2,4,80000,800,9000,9000,88200,08/22/2024,08/22/2025,U12345685,08/22/2024,H-0008,,HH-0008,MANUAL
1400101-2024-0000009,R,09/15/2024,2024,3,4,90000,900,10000,10000,99100,09/15/2024,09/15/2025,U12345686,09/15/2024,I-0009,,II-0009,ONLINE
1400101-2024-0000010,R,10/10/2024,2024,4,4,100000,1000,11000,11000,110900,10/10/2024,10/10/2025,U12345687,10/10/2024,J-0010,,JJ-0010,MANUAL
1400101-2024-0000011,R,11/05/2024,2024,1,4,110000,1100,12000,12000,121800,11/05/2024,11/05/2025,U12345688,11/05/2024,K-0011,,KK-0011,ONLINE
1400101-2024-0000012,R,12/20/2024,2024,2,4,120000,1200,13000,13000,132700,12/20/2024,12/20/2025,U12345689,12/20/2024,L-0012,,LL-0012,MANUAL
1400101-2024-0000013,R,01/15/2025,2025,1,4,130000,1300,14000,14000,143600,01/15/2025,01/15/2026,U12345690,01/15/2025,M-0013,,MM-0013,ONLINE
1400101-2024-0000014,R,02/10/2025,2025,2,4,140000,1400,15000,15000,154500,02/10/2025,02/10/2026,U12345691,02/10/2025,N-0014,,NN-0014,MANUAL
1400101-2024-0000015,R,03/05/2025,2025,3,4,150000,1500,16000,16000,165400,03/05/2025,03/05/2026,U12345692,03/05/2025,O-0015,,OO-0015,ONLINE
1400101-2024-0000016,R,04/20/2025,2025,4,4,160000,1600,17000,17000,176300,04/20/2025,04/20/2026,U12345693,04/20/2025,P-0016,,PP-0016,MANUAL
1400101-2024-0000017,R,05/12/2025,2025,1,4,170000,1700,18000,18000,187200,05/12/2025,05/12/2026,U12345694,05/12/2025,Q-0017,,QQ-0017,ONLINE
1400101-2024-0000018,R,06/07/2025,2025,2,4,180000,1800,19000,19000,198100,06/07/2025,06/07/2026,U12345695,06/07/2025,R-0018,,RR-0018,MANUAL
1400101-2024-0000019,R,07/22/2025,2025,3,4,190000,1900,20000,20000,209000,07/22/2025,07/22/2026,U12345696,07/22/2025,S-0019,,SS-0019,ONLINE
1400101-2024-0000020,R,08/15/2025,2025,4,4,200000,2000,21000,21000,219900,08/15/2025,08/15/2026,U12345697,08/15/2025,T-0020,,TT-0020,MANUAL
1400101-2024-0000021,R,09/10/2025,2025,1,4,210000,2100,22000,22000,230800,09/10/2025,09/10/2026,U12345698,09/10/2025,U-0021,,UU-0021,MANUAL
1400101-2024-0000022,R,10/05/2025,2025,2,4,220000,2200,23000,23000,241700,10/05/2025,10/05/2026,V-0022,,VV-0022,ONLINE
