business_bin,application_or_no,code,description,amount,discount,Interest,Surcharge,total,type,qtr_from,qtr_to,year
1400101-2024-0000001,U12345678,GF-01,"Garbage Fee",3000,0,0,0,3000,GARBAGE,1,4,2024
1400101-2024-0000002,U12345679,GF-02,"Garbage Fee",3500,0,0,0,3500,GARBAGE,2,4,2024
1400101-2024-0000003,U12345680,GF-03,"Garbage Fee",4000,0,0,0,4000,GARBAGE,3,4,2024
1400101-2024-0000004,U12345681,GF-04,"Garbage Fee",4500,0,0,0,4500,GARBAGE,4,4,2024
1400101-2024-0000005,U12345682,GF-05,"Garbage Fee",5000,0,0,0,5000,GARBAGE,1,4,2025
1400101-2024-0000006,U12345683,GF-06,"Garbage Fee",5500,0,0,0,5500,GARBAGE,2,4,2025
1400101-2024-0000007,U12345684,GF-07,"Garbage Fee",6000,0,0,0,6000,GARBAGE,3,4,2025
1400101-2024-0000008,U12345685,GF-08,"Garbage Fee",6500,0,0,0,6500,GARBAGE,4,4,2025
1400101-2024-0000009,U12345686,GF-09,"Garbage Fee",7000,0,0,0,7000,GARBAGE,1,4,2026
1400101-2024-0000010,U12345687,GF-10,"Garbage Fee",7500,0,0,0,7500,GARBAGE,2,4,2026
1400101-2024-0000011,U12345688,GF-11,"Garbage Fee",8000,0,0,0,8000,GARBAGE,3,4,2026
1400101-2024-0000012,U12345689,GF-12,"Garbage Fee",8500,0,0,0,8500,GARBAGE,4,4,2026
1400101-2024-0000013,U12345690,GF-13,"Garbage Fee",9000,0,0,0,9000,GARBAGE,1,4,2027
1400101-2024-0000014,U12345691,GF-14,"Garbage Fee",9500,0,0,0,9500,GARBAGE,2,4,2027
1400101-2024-0000015,U12345692,GF-15,"Garbage Fee",10000,0,0,0,10000,GARBAGE,3,4,2027
1400101-2024-0000016,U12345693,GF-16,"Garbage Fee",10500,0,0,0,10500,GARBAGE,4,4,2027
1400101-2024-0000017,U12345694,GF-17,"Garbage Fee",11000,0,0,0,11000,GARBAGE,1,4,2028
1400101-2024-0000018,U12345695,GF-18,"Garbage Fee",11500,0,0,0,11500,GARBAGE,2,4,2028
1400101-2024-0000019,U12345696,GF-19,"Garbage Fee",12000,0,0,0,12000,GARBAGE,3,4,2028
1400101-2024-0000020,U12345697,GF-20,"Garbage Fee",12500,0,0,0,12500,GARBAGE,4,4,2028
1400101-2024-0000021,U12345698,GF-21,"Garbage Fee",13000,0,0,0,13000,GARBAGE,1,4,2029
1400101-2024-0000022,U12345699,GF-22,"Garbage Fee",13500,0,0,0,13500,GARBAGE,2,4,2029
1400101-2024-0000023,U12345700,GF-23,"Garbage Fee",14000,0,0,0,14000,GARBAGE,3,4,2029
1400101-2024-0000024,U12345701,GF-24,"Garbage Fee",14500,0,0,0,14500,GARBAGE,4,4,2029
1400101-2024-0000025,U12345702,GF-25,"Garbage Fee",15000,0,0,0,15000,GARBAGE,1,4,2030
1400101-2024-0000026,U12345703,GF-26,"Garbage Fee",15500,0,0,0,15500,GARBAGE,2,4,2030
1400101-2024-0000027,U12345704,GF-27,"Garbage Fee",16000,0,0,0,16000,GARBAGE,3,4,2030
1400101-2024-0000028,U12345705,GF-28,"Garbage Fee",16500,0,0,0,16500,GARBAGE,4,4,2030
