Sheet3
       OPTIONS
0          NaN
1          YES
2           NO
3  CONDITIONAL
BPLS-Business
                                       FIELD    REQUIRED?                                                                                                                                                                                                                                                                                                                                                                                                    GUIDE                                                                                                                FORMAT/ VALIDATION                             SAMPLE INPUT
0                                        bin          YES                                                                                                                                                                                                                                                                         This refers to the business identification number which uniquely identifies the business.\n\nMust use format and must be unique.  Numbers only.\n\nformat: PSGC (7digits) - YEAR OF FIRST REGISTRATION (4digits) - INCREMENT (7digits)\n\n0000000 - 0000 - 0000000  1400101-2024-0000001\n\n(Bangued, Abra)
1                              business_name          YES                                                                                                                                                                                                                                                                                                                      This refers to the registered business name.\n\nIt should be at least 3 characters.                                                                          Alphanumeric with special characters\n\n3-100 characters                     Summit Solutions Co.
2                                 trade_name           NO                                                                                                                                                                                                                                                   This refers to the trade name of the business if the business is not operating under their registered business name.\n\nMust be at least 3 characters.                                                                          Alphanumeric with special characters\n\n3-100 characters                              The Horizon
3                              business_type          YES                                                                                                                                                                                                    This specifies the business ownership type, such as Sole Proprietorship, One-Man Corporation, Partnership, Corporation, or Cooperative.\n\nSelect only from the accepted values. Must be all capital.                 Fixed values only: \n\nSOLE PROPRIETORSHIP; \nONE PERSON CORPORATION;\nPARTNERSHIP;\nCORPORATION; or\nCOOPERATIVE                              CORPORATION
4                                     dti_no  CONDITIONAL                                                                                                                              The number issued by Department of Trade and Industry (DTI) to registered businesses.\n \nIt is required if the kind of ownership is SOLE PROPRIETORSHIP.\n\nThe DTI Registration Number usually includes the year of registration followed by a unique sequence of digits.                                                                                                   Alphanumeric\n\n3-30 characters                             2024-1234567
5            dti_registratrion_expiry_date\n  CONDITIONAL                                                                                                                                                                                                                     This indicates the DTI Registration Expiry dateThis indicates the DTI Registration Expiry date\n\nThis field is conditional. Only Required when business type is SOLE PROPRIETORSHIP                                                                                                                Date\n\nMM/DD/YYYY                      2026-03-26 00:00:00
6                                     sec_no  CONDITIONAL  The number issued by the Securities and Exchange Commission (SEC) to businesses registered. \n\nIt is required if the kind of ownership is ONE PERSON CORPORATION, PARTNERSHIP, or CORPORATION.\n\nThe format typically begins with a prefix indicating the registration type (e.g., "CS" for corporations, "PN" for partnerships), followed by the year of registration and a unique series of digits.                                                                                                   Alphanumeric\n\n3-30 characters                             CS2024-12345
7                                     cda_no  CONDITIONAL                                                                                        The number issued by the Cooperative Development Authority (CDA) to registered businesses.\n\nIt is required if the kind of ownership is COOPERATIVE.\n\nThe format often reflects Republic Act No. 9520 (the Cooperative Code of the Philippines), followed by regional codes and unique identification numbers.                                                                                                   Alphanumeric\n\n3-30 characters                            9520-16012345
8                                     tin_no           NO                                                                                                                                                                                                                             The number issued by Bureau of Internal Revenue (BIR) to registered businesses for tax purposes.\n\nFor businesses, the last three digits may vary to indicate branch codes.                                                                                                 Numbers only\n\n000-000-000-00000                        123-456-789-00001
9                                        NaN          NaN                                                                                                                                                                                                                                                                                                                                                                                                      NaN                                                                                                                               NaN                                      NaN
